科目名,学科,開講学期,曜日・時限,単位数,授業形態,実施方法,教授名,到達目標,概要,授業計画,成績評価基準,成績評価結果,配当年次,カテゴリ
アルゴリズムとデータ構造,インテリジェント情報工学科,春学期,月曜日1講時,2,講義,面接/Face-to-face,芳賀 博英,学生は (1) 基本的なアルゴリズムとデータ構造の技法を身につけて，それを必要なプログラミング言語で実装できるようになる． (2) 既存のアルゴリズムとデータ構造を利用する場合には，その適・不適を適切に判断できるようになる．,本講義では， プログラミングの初級を学習した人を対象として， より良いプログラムを作成するための必須の内容であるアルゴリズムとデータ構造についての基礎的な講義を行います。 プログラミングとは現実の世界の問題をコンピュータを使って解くことです.従って計算手順をコンピュータが実行できる形式で表さなければいけません．この計算手順がアルゴリズムです. 一方データ構造とは， 現実の問題をコンピューターの中でどのように表現するかという技法です. 本講義では膨大な内容を含むアルゴリズムとデータ構造のうち，現実の世界を表現するときによく使われる配列，リスト，ツリーというデータ構造，およびソート(並べ替え)とサーチ(検索)を中心とし，関連する内容について講義をします.またアルゴリズムを考える時に重要な計算の手間(計算の複雑さあるいは計算量とも言います)についても講義を行います. この講義ではたくさんのプログラム例を示し，また皆さんにも作ってもらいます．アルゴリズムは理論だけを勉強しても，実際の役にはたちませんが，アルゴリズムを知らずに問題を（効率よく）解くことも不可能です．ですから，理論と実装の両方について学びます． この講義では実装言語として Java を用います．またプログラミングの課題を出題します．ですから Javaの中級レベルの知識が必須です． またプログラミング課題を実行するための環境（コンパイラまたはIDE）も不可欠です．ただしプログラミング課題ではC/C++/C#を利用しても構いません．,"[{""授業回"": ""1"", ""内容"": ""導入，アルゴリズムとデータ構造とは何か？""}, {""授業回"": ""2"", ""内容"": ""配列""}, {""授業回"": ""3"", ""内容"": ""初歩的なソーティング""}, {""授業回"": ""4"", ""内容"": ""スタックとキュー""}, {""授業回"": ""5"", ""内容"": ""連結リスト""}, {""授業回"": ""6"", ""内容"": ""再帰構造""}, {""授業回"": ""7"", ""内容"": ""高度なソート法""}, {""授業回"": ""8"", ""内容"": ""中間評価""}, {""授業回"": ""9"", ""内容"": ""２分木""}, {""授業回"": ""10"", ""内容"": ""2-3-4木と外部記憶装置""}, {""授業回"": ""11"", ""内容"": ""ハッシュ法""}, {""授業回"": ""12"", ""内容"": ""ヒープ""}, {""授業回"": ""13"", ""内容"": ""グラフ""}, {""授業回"": ""14"", ""内容"": ""重み付きグラフ""}, {""授業回"": ""15"", ""内容"": ""まとめ""}]","[{""項目"": ""中間評価"", ""割合"": ""30%"", ""詳細"": ""7回目までの講義の内容が理解できているかどうか．""}, {""項目"": ""期末試験"", ""割合"": ""30%"", ""詳細"": ""講義全般の内容が理解できているかどうか．""}, {""項目"": ""プログラミング課題"", ""割合"": ""40%"", ""詳細"": ""指示されたプログラムが正しく動作しているかどうか．講義ではJavaを使いますが，プログラミング演習で使う言語は，C/C+/C#/Javaのいずれでも構いません．""}]","{""登録者数"": ""32"", ""A"": ""21.9"", ""B"": ""12.5"", ""C"": ""25.0"", ""D"": ""12.5"", ""F"": ""28.1"", ""他"": ""0.0"", ""評点平均値"": ""1.9"", ""備考"": """"}",2,
オペレーティングシステム,インテリジェント情報工学科,秋学期,金曜日2講時,2,講義,面接/Face-to-face,小野　景子,（知識）OSが持つ抽象化の概念について学び，様々なコンピュータの効率的な利用法をソフトウェア開発で活用できるようになる． （技能）OSの基本的な機構を理解する過程で，プロセスやスレッドを活用するプログラミング技術を学び，応用できるようになる． （態度）OSによる多数のデバイスとプロセスの制御手順を学び，システムを構成する主体としてのコンピュータを意識できるようになる．,本講義では，基本ソフトウェアの一種であるオペレーティングシステム（OS）について学ぶ．携帯電話やゲーム機を含め，多機能化が進み，多様化がますます加速する現代のコンピュータにおいては，OSに関する知識は無くてはならないものとなっている．そのため，本講義では古典的なOSを対象とし，その概念と実装技術について基礎から理解することを目的とする．実際に利用されるOSの話題にも触れ，その役割について具体的なイメージを掴み，応用する能力を身につける，講義内容の区切りには演習問題に取り組み，知識を技術として身に付ける．,"[{""授業回"": ""1"", ""内容"": ""概説・オペレーティングシステムの役割""}, {""授業回"": ""1"", ""内容"": ""オペレーティングシステムの役割についてのレポート""}, {""授業回"": ""2"", ""内容"": ""オペレーティングシステムの役割について I/Oデバイスと割り込み""}, {""授業回"": ""3"", ""内容"": ""プロセスとスレッド（1）""}, {""授業回"": ""4"", ""内容"": ""プロセスとスレッド（2）""}, {""授業回"": ""5"", ""内容"": ""スケジューリング（1）""}, {""授業回"": ""6"", ""内容"": ""スケジューリング（2）""}, {""授業回"": ""7"", ""内容"": ""相互排除と同期（1）""}, {""授業回"": ""8"", ""内容"": ""相互排除と同期（2）""}, {""授業回"": ""9"", ""内容"": ""メモリ管理と仮想記憶（1）""}, {""授業回"": ""10"", ""内容"": ""メモリ管理と仮想記憶（2）""}, {""授業回"": ""11"", ""内容"": ""ファイルシステム (1)""}, {""授業回"": ""12"", ""内容"": ""ファイルシステム (2) 仮想化""}, {""授業回"": ""13"", ""内容"": ""情報セキュリティの基礎""}, {""授業回"": ""14"", ""内容"": ""レポート作成，レポート提出""}, {""授業回"": ""15"", ""内容"": ""総括""}, {""授業回"": ""15"", ""内容"": ""レポートの修正""}]","[{""項目"": ""平常点"", ""割合"": ""20%"", ""詳細"": ""講義資料の閲覧状況および講義後の確認課題，予習・復習状況を通し，理解の深化を図ると同時に理解度を評価する．""}, {""項目"": ""課題レポート2回"", ""割合"": ""80%"", ""詳細"": ""コマンドやプログラミングにより，OSの基本機構，プロセスやスレッドの理解度および活用ができるかを評価する""}]","{""登録者数"": ""105"", ""A"": ""18.1"", ""B"": ""23.8"", ""C"": ""22.9"", ""D"": ""13.3"", ""F"": ""21.9"", ""他"": ""0.0"", ""評点平均値"": ""2.0"", ""備考"": """"}",2,
コラボレーション工学,インテリジェント情報工学科,秋学期,水曜日2講時,2,講義,面接/Face-to-face,大久保　雅史,コラボレーションの基本となる人のコミュニケーションについて理解できるようになる．さらに，対面・非対面，同期・非同期における各種のコラボレーション支援について知ることで，この分野の将来的なビジョンについて考えられるようになる．,コンピュータや通信技術の発展にともない，サイバースペースやグループウェアをはじめする人と人あるいは人とコンピュータや機械との協調的創造活動を支援するシステムの研究・開発が盛んに行われている。これらのシステムは時間的・空間的な同期性からいくつかのパターンに分類できる。さらに，それぞれのコラボレーション支援の技術的な問題点はシステムの目的によって異なっている。たとえば，時間的・空間的に離れた複数の人が情報を共有しながら効率よく創造的な共同作業を進めていくコラボレーション支援システムでは，コミュニケーションとコオペレーションの2つのインタラクションを支援する必要がある。本講義では，様々なタイプのコラボレーション支援システムの概説と人と人のコラボレーションや人の創造的活動を支援する要素技術について講述する。また，グループによるワークショップをいくつか行い，コラボレーションの本質を実体験する。,"[{""授業回"": ""1"", ""内容"": ""コラボレーション工学とは""}, {""授業回"": ""2"", ""内容"": ""ノンバーバルコミュニケーション（1）""}, {""授業回"": ""3"", ""内容"": ""ノンバーバルコミュニケーション（2）""}, {""授業回"": ""4"", ""内容"": ""コミュニケーション支援（1）""}, {""授業回"": ""5"", ""内容"": ""コミュニケーション支援（2）""}, {""授業回"": ""6"", ""内容"": ""グループウェア（1）""}, {""授業回"": ""7"", ""内容"": ""グループウェア（2）""}, {""授業回"": ""8"", ""内容"": ""グループウェア（3）""}, {""授業回"": ""9"", ""内容"": ""ワークフローシステム""}, {""授業回"": ""10"", ""内容"": ""あいまいな思考を支援する技術""}, {""授業回"": ""11"", ""内容"": ""コラボレーションとゲーム理論１""}, {""授業回"": ""12"", ""内容"": ""コラボレーションとゲーム理論２""}, {""授業回"": ""13"", ""内容"": ""少人数によるグループワーク(ブレインストーミング）および発表""}, {""授業回"": ""14"", ""内容"": ""少人数によるグループワーク（ブレインライティング）および発表""}, {""授業回"": ""15"", ""内容"": ""総括""}]","[{""項目"": ""平常点（クラス参加，発表，グループ作業の成果等）"", ""割合"": ""15%"", ""詳細"": ""出席をとる。大幅な遅刻は欠席とみなす。""}, {""項目"": ""小テスト，レポート"", ""割合"": ""25%"", ""詳細"": ""講義の理解を深めるために授業中のテストやレポートを課す。""}, {""項目"": ""総括"", ""割合"": ""60%"", ""詳細"": ""講義の内容の基礎からその応用までを総括する。""}, {""項目"": ""特記事項"", ""割合"": """", ""詳細"": ""講義内容の理解度を上記に述べる方法で総合的に判断する。""}]","{""登録者数"": ""119"", ""A"": ""58.0"", ""B"": ""19.3"", ""C"": ""11.8"", ""D"": ""4.2"", ""F"": ""6.7"", ""他"": ""0.0"", ""評点平均値"": ""3.2"", ""備考"": """"}",3,
コンパイラ,インテリジェント情報工学科,春学期,金曜日1講時,2,講義,面接/Face-to-face,芳賀 博英,学生は (1) コンパイラの基本的な構造が理解できるようになる． (2) コンパイラ生成ツールを使って，字句解析，構文解析のプログラムを開発できるようになる． (3) コード生成部分のうちで，制御構造，関数呼び出しのコード生成の手順を理解できるようになる．,この講義では，コンパイラ生成系を利用して，言語処理系を開発することによって，コンパイラの基礎を習得します。使用する生成系はYaccとLex（実際はそのフリーソフト版であるBisonとFlex）であり，このツールを用いて，C言語のサブセット的な言語のコンパイラ（字句解析系，構文解析系，コード生成系）の開発を行います。 講義では最初にコンパイラの基礎，正規表現，形式文法，上向き構文解析法を復習し，そのあとYaccの説明を行います。さらに字句解析系を生成するLexについて述べ，仮想スタックマシンの概要を説明します。その後簡単な算術式を記述できる言語(CalcL)のコンパイルから開発して，変数を扱える言語(ExprL)，制御構造を持つ言語(CntlL)，関数定義と関数呼び出しが可能な言語(FuncL)のコンパイル法を説明します。 YaccおよびLexはC言語のプログラムを生成するので，本講義の受講にはC言語の基本的な知識が必須です。具体的には，基本的なデータ構造，構造体，ポインタ，共用体，関数定義などのレベルです．またYaccとLexあるいはBisonとFlexが動作する環境（Unix環境もしくはCygwin環境）を 自前で準備することが必須です． 大学設置のPCでは演習課題は実行できません．,"[{""授業回"": ""1"", ""内容"": ""言語処理系の役割。""}, {""授業回"": ""2"", ""内容"": ""正規表現，形式文法，構文解析法の復習．""}, {""授業回"": ""3"", ""内容"": ""YaccとLexの概要(1)．""}, {""授業回"": ""4"", ""内容"": ""YaccとLexの概要(2)．(*)""}, {""授業回"": ""5"", ""内容"": ""簡単な言語の処理系の記述．""}, {""授業回"": ""6"", ""内容"": ""仮想スタックマシン(VSM)の仕様．""}, {""授業回"": ""7"", ""内容"": ""式を含む言語(CalcL)のコンパイル法．(*)""}, {""授業回"": ""8"", ""内容"": ""変数を含む言語(ExprL)のコンパイル法(1)．""}, {""授業回"": ""9"", ""内容"": ""変数を含む言語(ExprL)のコンパイル法(2)．(*)""}, {""授業回"": ""10"", ""内容"": ""制御文を持つ言語(CntrlL)のコンパイル法(1)．""}, {""授業回"": ""11"", ""内容"": ""制御文を持つ言語(CntrlL)のコンパイル法(2)．""}, {""授業回"": ""12"", ""内容"": ""制御文を持つ言語(CntrlL)のコンパイル法(3)．(*)""}, {""授業回"": ""13"", ""内容"": ""関数定義が可能な言語(FuncL)のコンパイル法(1)．""}, {""授業回"": ""14"", ""内容"": ""関数定義が可能な言語(FuncL)のコンパイル法(2)．""}, {""授業回"": ""15"", ""内容"": ""関数定義が可能な言語(FuncL)のコンパイル法(3)．(*)""}]","[{""項目"": ""プログラミング課題"", ""割合"": ""50%"", ""詳細"": ""各回で指定された機能が実現できているかどうか。スケジュールで(*)印の付いている回を予定．""}, {""項目"": ""期末試験"", ""割合"": ""50%"", ""詳細"": ""講義の内容全般が理解できているかどうか．""}]",,3,
コンピュータグラフィックス,インテリジェント情報工学科,秋学期,木曜日2講時,2,講義,面接/Face-to-face,渡部　広一,CGにおける基礎理論を理解できるようになる。 CGにおける画像生成手法や物体表現法を習得できるようになる。 CGにおける各種計算が出来るようになる。,コンピュータ・グラフィックス（CG）とは，「コンピュータによりデータを処理し，画像として出力する技術」，または，「作成された画像そのもの」を指す。本講義では，CGにおける基礎理論，ならびに，画像生成手法，対象物体の表現方法などについて述べる。すなわち，CGにおける基本的考え方の理解が目標である。,"[{""授業回"": ""第1回"", ""内容"": ""イントロダクション""}, {""授業回"": ""第2回"", ""内容"": ""コンピュータグラフィックスとは何か""}, {""授業回"": ""第3回"", ""内容"": ""CGの仕掛けと色の表現を知る""}, {""授業回"": ""第4回"", ""内容"": ""3次元形状をモデリングする""}, {""授業回"": ""第5回"", ""内容"": ""自由曲面を表現する""}, {""授業回"": ""第6回"", ""内容"": ""投影変換と幾何変換を行う""}, {""授業回"": ""第7回"", ""内容"": ""隠れ面の消去を行う""}, {""授業回"": ""第8回"", ""内容"": ""シェーディングを行う""}, {""授業回"": ""第9回"", ""内容"": ""スムーズシェーディングを行う""}, {""授業回"": ""第10回"", ""内容"": ""レイトレーシングを学ぶ（1）""}, {""授業回"": ""第11回"", ""内容"": ""レイトレーシングを学ぶ（2）""}, {""授業回"": ""第12回"", ""内容"": ""テクスチャマッピングを行う""}, {""授業回"": ""第13回"", ""内容"": ""ボリュームレンダリングを学ぶ""}, {""授業回"": ""第14回"", ""内容"": ""アニメーションと変形を学ぶ""}, {""授業回"": ""第15回"", ""内容"": ""まとめ""}]","[{""項目"": ""演習レポート"", ""割合"": ""60%"", ""詳細"": ""各回の講義内容の理解度の確認（相談可）""}, {""項目"": ""期末試験"", ""割合"": ""40%"", ""詳細"": ""講義内容全体にわたっての理解度の確認（相談不可！）""}]","{""登録者数"": ""128"", ""A"": ""22.7"", ""B"": ""26.6"", ""C"": ""25.8"", ""D"": ""10.2"", ""F"": ""14.8"", ""他"": ""0.0"", ""評点平均値"": ""2.3"", ""備考"": """"}",1,
コンピュータネットワーク,インテリジェント情報工学科,春学期,水曜日2講時,2,講義,面接/Face-to-face,土屋　誠司,（知識）情報処理技術者試験であるネットワークスペシャリスト合格に向けた基礎的な幅広い知識を習得できるようになる． （技能）コンピュータネットワークに関する一般的な問題をハードウェア，ソフトウェアの両面から総合的に解決できるようになる． （態度）様々なシステムをコンピュータネットワークの観点から捉えることができるようになる．,現在の情報システムは，コンピュータと情報通信技術が高度に融合され複雑なものになっている．本講義では，コンピュータネットワークを構築するためのコンピュータ技術，情報通信技術についてハードウェア，ソフトウェアの両面から学び，コンピュータネットワーク技術に関する幅広い基礎力を養う． なお，企業内研究所での勤務経験を有する教員が，当該研究所で習得した技術を基礎とした講義を行っている．,"[{""授業回"": ""1："", ""内容"": ""データ表現""}, {""授業回"": ""2："", ""内容"": ""演算，符号理論""}, {""授業回"": ""3："", ""内容"": ""人工知能""}, {""授業回"": ""4："", ""内容"": ""ハードウェア""}, {""授業回"": ""5："", ""内容"": ""システム構成要素""}, {""授業回"": ""6："", ""内容"": ""ソフトウェア（１）""}, {""授業回"": ""7："", ""内容"": ""ソフトウェア（２）""}, {""授業回"": ""8："", ""内容"": ""ネットワークのしくみ（１）""}, {""授業回"": ""9："", ""内容"": ""ネットワークのしくみ（２）""}, {""授業回"": ""10："", ""内容"": ""TCP/IP""}, {""授業回"": ""11："", ""内容"": ""伝送技術""}, {""授業回"": ""12："", ""内容"": ""インターネット""}, {""授業回"": ""13："", ""内容"": ""システム開発プロセス""}, {""授業回"": ""14："", ""内容"": ""テスト工程""}, {""授業回"": ""15："", ""内容"": ""情報セキュリティ""}]","[{""項目"": ""提出物（ノート，レポートなど）"", ""割合"": ""90%"", ""詳細"": ""講義内容が理解できているか評価する""}, {""項目"": ""その他"", ""割合"": ""10%"", ""詳細"": ""受講状況などを評価する""}]","{""登録者数"": ""89"", ""A"": ""15.7"", ""B"": ""27.0"", ""C"": ""30.3"", ""D"": ""20.2"", ""F"": ""6.7"", ""他"": ""0.0"", ""評点平均値"": ""2.2"", ""備考"": """"}",1,
コンピュータ基礎実習,インテリジェント情報工学科,秋学期,金曜日2講時,1,実習,面接/Face-to-face,加藤　恒夫,（知識）基本情報技術者試験で出題されるアセンブラ言語の問題を解答できるようになる． （技能）Microsoft Excelのマクロ機能ならびにVBAを使いこなすことができるようになる． （態度）コンピュータをハードウェアとソフトウェアの両面から理解できるようになる．,コンピュータの内部構造および動作原理の基礎的理解のために，アセンブラ言語（CASL II）によるプログラミング実習を行う．また，実務を効率的に行うために有効なMicrosoft Excelのマクロ機能ならびにVBAを習得する． 通信会社の研究所での研究開発の経験を有する教員が，実社会でのコンピュータ利用の実態を踏まえて，実習を行う．,"[{""授業回"": ""第1回"", ""内容"": ""実習の概要""}, {""授業回"": ""第2回"", ""内容"": ""コンピュータの基本構造とアセンブラ言語""}, {""授業回"": ""第3回"", ""内容"": ""アセンブラ命令""}, {""授業回"": ""第4回"", ""内容"": ""CASL Ⅱの命令形式""}, {""授業回"": ""第5回"", ""内容"": ""CASL Ⅱの基本命令，アセンブラと機械語""}, {""授業回"": ""第6回"", ""内容"": ""プログラムレジスタと分岐命令""}, {""授業回"": ""第7回"", ""内容"": ""論理加減算命令と比較命令""}, {""授業回"": ""第8回"", ""内容"": ""論理演算，シフト演算""}, {""授業回"": ""第9回"", ""内容"": ""スタック操作とサブルーチン，文字の定義""}, {""授業回"": ""第10回"", ""内容"": ""総合学習(1)""}, {""授業回"": ""第11回"", ""内容"": ""Excel マクロ""}, {""授業回"": ""第12回"", ""内容"": ""Excel VBA（ロジック）""}, {""授業回"": ""第13回"", ""内容"": ""Excel VBA（ユーザーインターフェース）""}, {""授業回"": ""第14回"", ""内容"": ""総合学習(2)""}, {""授業回"": ""第15回"", ""内容"": ""総括""}]","[{""項目"": ""実習レポート"", ""割合"": ""30%"", ""詳細"": ""各回の実習課題に対する提出物の完成度""}, {""項目"": ""総合学習(1)(2)"", ""割合"": ""70%"", ""詳細"": ""(1)はアセンブラの，(2)はExcelマクロ・VBAの理解度確認""}]","{""登録者数"": ""80"", ""A"": ""22.5"", ""B"": ""36.3"", ""C"": ""18.8"", ""D"": ""17.5"", ""F"": ""5.0"", ""他"": ""0.0"", ""評点平均値"": ""2.5"", ""備考"": """"}",1,
センシング制御工学,インテリジェント情報工学科,秋学期,水曜日4講時,2,講義,面接/Face-to-face,橋本　雅文,(1)運動量を計測するセンサの基礎を習得できる． (2)センサに関連する誤差の表現法を理解できるようになる． (3)センサ情報をコンピュータに取り入れる方法を習得できる． (4)センサ情報に基づく様々な信号処理手法の基礎を習得できる．,「センシング」は注目する情報を取得し，「制御」はその情報に基づいた操作による行動を意味する。センシングによりシステムの状態を信頼性高く認識することは，それを正確に制御する基礎となる。本講義ではロボットやメカトロニクスシステムでのセンシングに不可欠な基礎的事項を修得する。,"[{""授業回"": ""1"", ""内容"": ""序論：ロボットとセンシング""}, {""授業回"": ""2"", ""内容"": ""ロボットのセンサ（その1）""}, {""授業回"": ""3"", ""内容"": ""ロボットのセンサ（その2）""}, {""授業回"": ""4"", ""内容"": ""センサ信号のディジタル変換""}, {""授業回"": ""5"", ""内容"": ""単位系と有効数字""}, {""授業回"": ""6"", ""内容"": ""センサ信号の誤差""}, {""授業回"": ""7"", ""内容"": ""間接測定の誤差伝播""}, {""授業回"": ""8"", ""内容"": ""システム同定：最小2乗法""}, {""授業回"": ""9"", ""内容"": ""システム同定：線形回帰""}, {""授業回"": ""10"", ""内容"": ""センサ信号の処理：アベレージングとスムージング""}, {""授業回"": ""11"", ""内容"": ""センサ信号の処理：相関法""}, {""授業回"": ""12"", ""内容"": ""センサ信号の処理：離散フーリエ変換（その１）""}, {""授業回"": ""13"", ""内容"": ""センサ信号の処理：離散フーリエ変換（その２）""}, {""授業回"": ""14"", ""内容"": ""センサ信号の処理：z変換とデジタルフィルタ""}, {""授業回"": ""15"", ""内容"": ""総括""}]","[{""項目"": ""平常点（クラス参加，発表，グループ作業の成果等）"", ""割合"": ""10%"", ""詳細"": ""毎回，小テストを行い，出欠とともに講義内容の理解度を確認する。なお，大幅な遅刻は欠席とみなす。""}, {""項目"": ""レポート課題"", ""割合"": ""5%"", ""詳細"": ""複数回のレポートを課し，講義内容の理解度を評価する。レポートの解説は授業で行う。""}, {""項目"": ""期末試験"", ""割合"": ""85%"", ""詳細"": ""講義内容の理解度と論理的思考力を評価する。期末試験の解説は授業講評で行う。""}]","{""登録者数"": ""108"", ""A"": ""25.0"", ""B"": ""21.3"", ""C"": ""12.0"", ""D"": ""17.6"", ""F"": ""24.1"", ""他"": ""0.0"", ""評点平均値"": ""2.1"", ""備考"": """"}",2,
ソフトウェア工学,インテリジェント情報工学科,春学期,月曜日1講時,2,講義,面接/Face-to-face,小野　景子,授業において学習内容に関する演習が出されるが，十分理解をし，毎回の演習に十分に解答できる様に努力する必要がある． 後半の実習では，「CDレンタルショップ」におけるレンタルと返却に関する業務処理をUMLで設計し，その後，Javaを用いて実装する．,「情報システム工学」で得た知識をもとに，システム開発の基礎技術に関し更に理解を深め，IT技術者の技量に左右されるシステム開発の生産性や品質向上に必要な技術を習得する．具体的には，UML静的モデル（クラス図）の設計およびJavaを用いた静的モデルの実装技術を身につけることを目標とする．　Javaプログラミングができることを前提とする．,"[{""授業回"": ""1"", ""内容"": ""イントロダクション""}, {""授業回"": ""1"", ""内容"": ""クラス図の復習""}, {""授業回"": ""2"", ""内容"": ""クラスの定義とクラス図""}, {""授業回"": ""3"", ""内容"": ""プログラムの動作とシーケンス図""}, {""授業回"": ""4"", ""内容"": ""インタフェース""}, {""授業回"": ""5"", ""内容"": ""委譲""}, {""授業回"": ""6"", ""内容"": ""継承""}, {""授業回"": ""7"", ""内容"": ""抽象クラス""}, {""授業回"": ""8"", ""内容"": ""パッケージ""}, {""授業回"": ""9"", ""内容"": ""ユースケース""}, {""授業回"": ""10"", ""内容"": ""UMLを使ったオブジェクト指向開発の実習(設計)""}, {""授業回"": ""11"", ""内容"": ""UMLを使ったオブジェクト指向開発の実習(実装1)""}, {""授業回"": ""12"", ""内容"": ""UMLを使ったオブジェクト指向開発の実習(実装２)""}, {""授業回"": ""13"", ""内容"": ""UMLを使ったオブジェクト指向開発の実習(実装3)""}, {""授業回"": ""14"", ""内容"": ""UMLを使ったオブジェクト指向開発の実習(実装4)""}, {""授業回"": ""15"", ""内容"": ""総評""}, {""授業回"": ""15"", ""内容"": ""サンプルプログラムの分析""}]","[{""項目"": ""平常点(出席，クラス参加)"", ""割合"": ""30%"", ""詳細"": ""毎回の実習問題による評価．""}, {""項目"": ""UMLを使ったオブジェクト指向開発の実習に関するレポート"", ""割合"": ""20%"", ""詳細"": ""UMLによる設計による評価．""}, {""項目"": ""UMLを使ったオブジェクト指向開発の実習に関するJavaでの実装"", ""割合"": ""50%"", ""詳細"": ""上記の設計に基づくJavaによる実装による評価．""}]","{""登録者数"": ""70"", ""A"": ""11.4"", ""B"": ""25.7"", ""C"": ""24.3"", ""D"": ""21.4"", ""F"": ""17.1"", ""他"": ""0.0"", ""評点平均値"": ""1.9"", ""備考"": """"}",3,
ディジタル信号処理,インテリジェント情報工学科,春学期,水曜日2講時,2,講義,面接/Face-to-face,加藤　恒夫,知識：アナログ信号のディジタル化における留意点，スペクトル分析，コンボリューション，ディジタルフィルタ等の基本的な概念を理解する。 技能：ディジタル信号処理の基本的な手法，z変換と離散的フーリエ変換，を実際の信号に適応して計算できるようになる。 態度：ディジタル信号を時間領域の波形で捉えるだけでなく，周波数領域のスペクトルでも捉えられるようになる。,本講義では，ディジタル信号処理の基礎，すなわち，標本化・量子化，離散信号のスペクトル分析，コンボリューション，ディジタルフィルタ等を学ぶ。これらは画像や音声をはじめ，自然界のアナログ信号をコンピュータに取り込み処理を行う，あるいは通信を行ううえで欠かせない技術である。講義内容で特に大切なのは，時間領域と周波数領域の関係の概念的な理解であり，これを強調して講義を進める。「解析学」と「フーリエ解析」が履修済みであることを想定しているが，まずアナログの信号処理のおさらいから始める。 通信会社の研究所での研究開発の経験を有する教員が，ディジタル信号処理技術の実社会における応用を踏まえて解説する．,"[{""授業回"": ""1"", ""内容"": ""講義の概要説明，序論""}, {""授業回"": ""2"", ""内容"": ""フーリエ級数展開""}, {""授業回"": ""3"", ""内容"": ""フーリエ変換""}, {""授業回"": ""4"", ""内容"": ""ラプラス変換""}, {""授業回"": ""5"", ""内容"": ""ラプラス変換(2)""}, {""授業回"": ""6"", ""内容"": ""アナログ信号とデジタル信号・サンプリング定理""}, {""授業回"": ""7"", ""内容"": ""ナイキストの周波数とエイリアシング""}, {""授業回"": ""8"", ""内容"": ""量子化と信号対雑音比""}, {""授業回"": ""9"", ""内容"": ""z変換""}, {""授業回"": ""10"", ""内容"": ""線形離散システム""}, {""授業回"": ""11"", ""内容"": ""離散フーリエ変換(DFT)・高速フーリエ変換(FFT)""}, {""授業回"": ""12"", ""内容"": ""FFT(2)""}, {""授業回"": ""13"", ""内容"": ""ディジタルフィルタ""}, {""授業回"": ""14"", ""内容"": ""フィルタの設計""}, {""授業回"": ""15"", ""内容"": ""総括""}]","[{""項目"": ""講義各回の提出課題"", ""割合"": ""30%"", ""詳細"": ""概念の理解，基本知識の確認""}, {""項目"": ""期末試験"", ""割合"": ""70%"", ""詳細"": ""概念の理解，テクニックの応用""}]","{""登録者数"": ""86"", ""A"": ""17.4"", ""B"": ""22.1"", ""C"": ""27.9"", ""D"": ""15.1"", ""F"": ""17.4"", ""他"": ""0.0"", ""評点平均値"": ""2.1"", ""備考"": """"}",3,
