学科区分,配当年次,科目コード,科目名,単位数,カテゴリ,,
インテリ,1,11610003,情報工学概論Ⅰ,1,必修,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610003000.html
インテリ,1,11610004,情報工学概論Ⅱ,1,必修,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610004000.html
インテリ,2,11610020,情報工学実験Ⅰ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610020000.html
インテリ,3,11610040,情報工学実験Ⅱ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610040000.html
インテリ,3,11610042,情報工学応用論,1,必修,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610042000.html
インテリ,4,11610051,卒業論文Ⅰ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610051000.html
インテリ,4,11610052,卒業論文Ⅱ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610052000.html
インテリ,3,11610060,情報工学実験Ⅲ,2,選択AⅠ-1a,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610060000.html
インテリ,3,11610061,特別演習実習,2,選択AⅠ-1a,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610061000.html
インテリ,1,11610070,解析学Ⅰ,2,選択AⅠ-1b,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610070000.html
インテリ,1,11610071,線形代数学Ⅰ,2,選択AⅠ-1b,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610071000.html
インテリ,1,11610072,情報数学Ⅰ,2,選択AⅠ-1b,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610072000.html
インテリ,2,11610080,数理統計学,2,選択AⅠ-1b,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610080000.html
インテリ,1,11610090,ＣプログラミングⅠ,2,選択AⅠ-1c,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610090000.html
インテリ,1,11610091,ＣプログラミングⅡ,2,選択AⅠ-1c,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610091000.html
インテリ,2,11610100,JavaプログラミングⅠ,2,選択AⅠ-1c,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610100000.html
インテリ,2,11610101,JavaプログラミングⅡ,2,選択AⅠ-1c,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610101000.html
インテリ,1,11610110,コンピュータネットワーク,2,選択AⅠ-1d,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610110000.html
インテリ,1,11610111,コンピュータグラフィックス,2,選択AⅠ-1d,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610111000.html
インテリ,2,11610120,オペレーティングシステム,2,選択AⅠ-1d,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610120000.html
インテリ,2,11610121,言語理論,2,選択AⅠ-1d,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610121000.html
両方,2,11610122,通信ネットワーク,2,選択AⅠ-1d/選択,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610122000.html
インテリ,2,11610123,計算機ハードウェア,2,選択AⅠ-1d,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610123000.html
両方,2,11610124,データベースシステム,2,選択AⅠ-1d/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610124000.html
インテリ,1,11610140,運動学の基礎,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610140000.html
インテリ,1,11610141,コンピュータ基礎実習,1,選択AⅠ-1d,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610141000.html
インテリ,1,11610142,解析学Ⅱ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610142000.html
インテリ,1,11610143,微分方程式Ⅰ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610143000.html
インテリ,1,11610144,線形代数学Ⅱ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610144000.html
インテリ,1,11610145,情報メディア,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610145000.html
インテリ,2,11610161,微分方程式Ⅱ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610161000.html
インテリ,2,11610162,画像処理,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610162000.html
インテリ,2,11610165,情報数学Ⅱ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610165000.html
インテリ,2,11610166,複素解析,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610166000.html
両方,2,11610167,情報理論,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610167000.html
両方,2,11610168,フーリエ解析,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610168000.html
インテリ,2,11610169,プログラミング言語,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610169000.html
インテリ,2,11610171,アルゴリズムとデータ構造,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610171000.html
インテリ,2,11610172,パターン認識,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610172000.html
両方,2,11610173,センシング制御工学,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610173000.html
両方,2,11610174,メカトロニクス基礎,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610174000.html
インテリ,3,11610181,計算機アーキテクチャ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610181000.html
インテリ,3,11610182,ディジタル信号処理,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610182000.html
両方,3,11610183,不規則信号論,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610183000.html
両方,3,11610185,符号理論,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610185000.html
インテリ,3,11610186,自然言語処理,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610186000.html
インテリ,2,11610187,情報システム工学,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610187000.html
インテリ,3,11610189,コンパイラ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610189000.html
両方,3,11610190,情報セキュリティ,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610190000.html
インテリ,3,11610191,特別講義Ａ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610191000.html
インテリ,3,11610192,特別講義Ｂ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610192000.html
両方,3,11610196,ワイヤレス通信,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610196000.html
両方,3,11610197,知識情報処理,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610197000.html
インテリ,2,11610199,応用数理統計学,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610199000.html
インテリ,3,11610201,ＣプログラミングⅢ,1,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610201000.html
インテリ,3,11610202,技術英語Ⅰ,1,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610202000.html
インテリ,3,11610203,技術英語Ⅱ,1,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610203000.html
両方,3,11610204,知的財産権,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610204000.html
両方,3,11610206,ロボティクス,2,選択AⅠ-2/選択AⅡ,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610206000.html
両方,1,11610207,学外実習1,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610207000.html
インテリ,3,11610208,学外実習2,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610208000.html
インテリ,3,11610210,ソフトウェア工学,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610210000.html
インテリ,3,11610211,JavaプログラミングⅢ,1,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610211000.html
インテリ,3,11610212,機械学習,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610212000.html
インテリ,3,11610213,音声処理,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610213000.html
インテリ,3,11610214,数値計算法,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610214000.html
両方,1,11610220,情報メディア実習,1,C群/選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610220000.html
両方,2,11610231,情報システム実習,1,C群/選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610231000.html
両方,3,11610240,情報通信ネットワーク実習,1,C群,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610240000.html
両方,3,11610243,情報と職業,2,C群,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610243000.html
両方,1,11610244,情報と社会,2,C群,,https://syllabus.doshisha.ac.jp/html/2024/1610/11610244000.html
情シス,1,11615001,計算機構成論,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615001000.html
情シス,1,11615002,論理回路,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615002000.html
情シス,1,11615003,プログラミングJavaⅠ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615003000.html
情シス,1,11615004,プログラミングJavaⅡ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615004000.html
情シス,1,11615005,人間と情報システムⅠ,1,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615005000.html
情シス,1,11615006,人間と情報システムⅡ,1,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615006000.html
情シス,2,11615020,情報ネットワーク,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615020000.html
情シス,2,11615021,プログラミングＣ言語Ⅰ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615021000.html
情シス,2,11615022,アルゴリズムとデータ構造入門,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615022000.html
情シス,2,11615023,システムと制御の数理,2,選択AⅠ-1b,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615023000.html
情シス,2,11615024,情報システム演習実験Ⅰ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615024000.html
情シス,2,11615025,情報システム演習実験Ⅱ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615025000.html
情シス,2,11615026,ソフトウェア設計技法,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615026000.html
情シス,2,11615027,データ工学,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615027000.html
情シス,2,11615029,マルチメディア信号処理,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615029000.html
情シス,2,11615030,機械学習,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615030000.html
情シス,3,11615040,情報システム応用,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615040000.html
情シス,3,11615041,情報システム演習実験Ⅲ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615041000.html
情シス,3,11615042,ソフトウェア工学,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615042000.html
情シス,3,11615043,画像工学,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615043000.html
情シス,3,11615044,オペレーティングシステム,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615044000.html
情シス,3,11615045,社会情報システム,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615045000.html
情シス,3,11615046,技術英語,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615046000.html
情シス,4,11615051,卒業論文Ⅰ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615051000.html
情シス,4,11615052,卒業論文Ⅱ,2,必修,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615052000.html
情シス,1,11615060,物理学の基礎,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615060000.html
情シス,1,11615061,数理統計学,2,選択AⅠ-1a,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615061000.html
情シス,1,11615062,数学の基礎Ⅰ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615062000.html
情シス,1,11615063,数学の基礎Ⅱ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615063000.html
情シス,1,11615064,線形代数学Ⅰ,2,選択AⅠ-1a,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615064000.html
情シス,1,11615065,線形代数学Ⅱ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615065000.html
情シス,1,11615066,解析学Ⅰ,2,選択AⅠ-1a,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615066000.html
情シス,1,11615067,解析学Ⅱ,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615067000.html
情シス,1,11615068,論理表現,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615068000.html
情シス,1,11615069,情報数学の基礎,2,選択AⅠ-1a,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615069000.html
情シス,1,11615070,シミュレーション基礎演習,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615070000.html
情シス,1,11615071,情報科学基礎,2,選択AⅠ-2,,https://syllabus.doshisha.ac.jp/html/2024/1615/11615071000.html
